model,results-EF-incl-merge,results-EFmin-incl-merge,results-EFsynthmin-incl-merge,results-PQ,results-PQ-best-worst-case-incl-merge,results-PQ-early-termination-incl-merge,results-PQ-incl-merge
accel_10000.txt,463.440,34.150,29.717, 0.442, 0.551, 0.471, 0.486
accel_1000.txt,5.464,3.034,2.628, 0.465, 0.646, 0.510, 0.552
accel_2000.txt,12.583,6.206,5.303, 0.467, 0.554, 0.483, 0.482
accel_3000.txt,40.296,10.133,8.882, 0.468, 0.550, 0.485, 0.488
accel_4000.txt,38.332,12.862,11.281, 0.453, 0.683, 0.507, 0.476
accel_5000.txt,128.005,16.695,14.822, 0.102, 0.121, 0.102, 0.113
accel_6000.txt,124.703,19.935,17.967, 0.469, 0.563, 0.483, 0.494
accel_7000.txt,192.390,23.645,20.713, 0.600, 0.561, 0.507, 0.617
accel_8000.txt,248.836,27.048,23.675, 0.510, 0.619, 0.540, 0.531
accel_9000.txt,303.468,30.113,26.368, 0.468, 0.535, 0.472, 0.467
blowup-1000.txt,10000,10000,10000, 0.005, 0.009, 0.006, 0.005
blowup-200.txt,10000,84.823,55.261, 0.005, 0.009, 0.005, 0.005
blowup-400.txt,10000,649.758,408.950, 0.006, 0.009, 0.005, 0.005
blowup-600.txt,10000,2279.605,1402.428, 0.005, 0.009, 0.005, 0.005
blowup-800.txt,10000,10000,3436.863, 0.006, 0.009, 0.006, 0.006
coffeeDrinker.txt,10000,0.009,10000,10000,10000, 0.013,10000
coffeeDrinkerUnbounded.txt,10000,0.009,10000,10000,10000, 0.011,10000
coffee.txt,0.005,0.002,0.002,10000, 0.002, 0.002, 0.002
CSMACDbc10.txt,10000,10000,10000,10000,10000, 0.017,10000
CSMACDbc6.txt,10000,0.013,10000,10000,10000, 0.017,10000
CSMACDbc9.txt,10000,0.023,10000,10000,10000, 0.032,10000
CSMACD.txt,10000,0.014,10000,10000,10000, 0.022,10000
F10.txt,10000,10000,10000,10000,10000,10000,10000
F2.txt,0.028,0.022,0.023,10000, 0.032, 0.022, 0.028
F3.txt,0.745,0.625,0.679,10000, 1.220, 0.218, 1.148
F4.txt,51.794,44.806,47.171,10000, 1349.552, 4.511, 1345.770
F5.txt,10000,10000,10000,10000,10000, 444.391,10000
fischer_2.txt,0.050,0.020,0.055,10000, 0.056, 0.023, 0.053
FischerAHV93.txt,0.021,0.017,0.035,10000, 0.040, 0.021, 0.036
fischerHRSV02-2.txt,10000,10000,10000,10000,10000, 0.113,10000
fischerHRSV02-3.txt,10000,10000,10000,10000,10000, 187.538,10000
fischerPAT2.txt,0.051,0.031,0.066,10000, 0.075, 0.038, 0.071
FMTV-1-A1.txt,5.762,7.968,5.022, 8.267, 3.227, 2.222, 2.241
FMTV-1-A3.txt,72.327,99.185,63.166, 23.004, 20.653, 9.576, 9.854
FMTV-2.txt,3.541,4.730,3.311, 0.899, 0.746, 0.419, 0.418
gear_10000.txt,10000,21.785,18.633, 0.009, 0.006, 0.005, 0.008
gear_1000.txt,10000,1.984,1.755, 0.003, 0.004, 0.003, 0.003
gear_2000.txt,10000,4.088,3.453, 0.003, 0.004, 0.003, 0.004
gear_3000.txt,10000,6.778,5.828, 0.003, 0.004, 0.003, 0.003
gear_4000.txt,10000,8.420,7.616, 0.003, 0.004, 0.003, 0.003
gear_5000.txt,10000,10.384,9.695, 0.003, 0.004, 0.003, 0.003
gear_6000.txt,10000,13.503,11.957, 0.003, 0.004, 0.004, 0.003
gear_7000.txt,10000,15.015,13.889, 0.003, 0.004, 0.003, 0.003
gear_8000.txt,10000,17.723,15.811, 0.004, 0.004, 0.003, 0.003
gear_9000.txt,10000,19.562,17.053, 0.003, 0.005, 0.003, 0.003
IMPOloop.txt,314.439,0.206,0.239, 0.739, 0.292, 0.102, 0.261
IMPO.txt,0.015,0.007,0.007, 0.011, 0.011, 0.008, 0.010
JLR13-3tasks-npfp-100-0.txt,10000,10000,10000, 0.012, 0.012, 0.004, 0.010
JLR13-3tasks-npfp-100-2.txt,10000,10000,10000, 0.013, 0.013, 0.004, 0.011
JLR13-3tasks-npfp-50-0.txt,10000,10000,10000, 0.066, 0.045, 0.020, 0.040
JLR13-3tasks-npfp-50-2.txt,10000,10000,10000, 0.081, 0.056, 0.023, 0.049
JLR13-3tasks-npfp.txt,10000,10000,10000, 0.309, 1.105, 0.088, 0.428
NoodlesCooking.txt,0.004,0.000,0.001, 0.001, 0.001, 0.001, 0.001
packaging.txt,10000,0.014,10000,10000,10000, 0.014,10000
Pipeline-KP12-2-3.txt,10000,10000,10000,10000,10000,10000,10000
Pipeline-KP12-2-5.txt,10000,10000,10000,10000,10000,10000,10000
Pipeline-KP12-3-2.txt,10000,10000,10000,10000,10000,10000,10000
Pipeline-KP12-3-3.txt,10000,10000,10000,10000,10000,10000,10000
RCP-CS01.txt,10000,10000,10000,10000,10000, 0.908,10000
simop2.txt,10000,10000,10000, 0.042,10000, 0.055, 0.035
simop3.txt,10000,10000,10000, 0.167,10000, 0.075, 0.076
SLAF14-3.txt,10000,10000,3542.966, 0.190, 0.441, 0.190, 0.188
SLAF14-5.txt,23.480,22.128,22.334, 11.862, 8.508, 5.616, 7.999
spsmall.txt,1.195,0.866,0.888, 6.508, 0.732, 0.610, 0.657
test_palencia2.txt,10000,10000,10000, 1.346, 0.518, 0.388, 0.489
Test_Thiele.txt,10000,10000,10000, 4.334, 1.815, 1.685, 1.658
Train1PTA.txt,0.006,0.001,0.003,10000, 0.003, 0.001, 0.003
WFAS-BBLS15.txt,10000,10000,10000,10000,10000,10000,10000
